folder,2025-26,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02
713-trinity-ct,25,28,27,31,23,0,25,25,25,22,23,24,25,24,24,0,0,0,0,0,0,0,0,0,0
715-trinity-tx,27,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716-troy,33,33,34,30,33,28,29,31,31,33,33,31,30,0,0,0,0,0,0,0,0,0,0,0,0
717-tufts,25,26,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718-tulane,31,30,32,32,31,27,31,30,31,33,35,33,31,0,0,0,0,0,0,0,0,0,0,0,0
719-tulsa,37,31,35,30,27,19,30,0,28,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72-bradley,33,33,32,32,28,29,29,30,31,31,31,30,30,30,34,31,31,31,30,31,28,0,0,0,0
720-tuskegee,28,30,25,30,41,0,29,22,27,26,26,26,28,0,0,0,0,0,0,0,0,0,0,0,0
721-air-force,35,32,32,31,33,26,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722-coast-guard,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724-us-merchant-marine,28,27,26,27,27,1,28,26,26,25,25,25,24,25,25,25,1,0,0,0,0,0,0,0,0
725-army,34,31,29,30,29,20,31,30,31,31,32,31,33,31,30,29,0,0,0,0,0,0,0,0,0
726-navy,31,31,31,30,31,12,30,29,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727-union-ny,28,26,27,25,26,0,24,25,24,24,25,26,25,24,25,23,0,0,0,0,0,0,0,0,0
728-upper-iowa,29,27,28,28,27,16,29,31,30,27,29,27,27,30,26,0,0,0,0,0,0,0,0,0,0
73-brandeis,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730-ursinus,27,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731-utah-st,30,31,30,30,30,24,31,32,30,32,31,31,31,32,0,33,0,0,0,0,0,0,0,0,0
732-utah,32,30,34,32,33,21,31,30,32,30,33,30,20,37,8,0,0,0,0,0,0,0,0,0,0
733-utica,25,25,26,25,26,0,26,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0
734-valdosta-st,29,29,33,29,32,22,29,31,32,32,28,29,27,27,30,0,0,0,0,0,0,0,0,0,0
735-valparaiso,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737-vassar,26,28,28,27,25,0,27,28,27,25,25,25,29,26,28,28,0,0,0,0,0,0,0,0,0
738-vermont,35,34,37,32,31,6,30,29,30,29,30,29,30,31,30,0,0,0,0,0,0,0,0,0,0
739-villanova,33,34,35,37,33,24,30,32,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740-virginia-commonwealth,31,31,32,29,28,27,32,34,28,31,33,29,32,29,11,31,35,0,0,0,0,0,0,0,0
742-virginia-tech,6,31,33,36,33,25,30,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743-virginia-state,26,30,27,28,30,0,2,25,29,30,27,27,3,28,0,0,0,0,0,0,0,0,0,0,0
744-virginia-union,26,30,29,28,23,0,27,31,31,33,31,27,27,27,26,0,0,0,0,0,0,0,0,0,0
745-va-wesleyan,26,24,25,25,25,12,26,25,28,25,26,29,27,27,28,26,0,0,0,0,0,0,0,0,0
748-wagner,30,29,28,28,29,19,30,30,29,29,29,29,30,28,0,0,0,0,0,0,0,0,0,0,0
749-wake-forest,32,29,42,34,33,25,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-bridgewater-va,27,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750-wartburg,27,29,32,30,27,16,29,31,32,22,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0
751-washington-&-jefferson,29,29,26,27,28,9,28,29,28,26,30,29,30,0,0,0,0,0,0,0,0,0,0,0,0
752-washington-and-lee,32,30,32,29,27,8,26,28,27,26,27,26,25,25,27,27,28,26,0,0,0,0,0,0,0
753-washington-col,26,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754-washington-state,34,34,36,34,31,24,31,30,30,36,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0
755-washu,28,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756-washington,33,33,31,34,23,21,30,32,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757-wayne-st-mi,32,32,28,27,28,20,30,29,27,28,28,29,31,0,0,0,0,0,0,0,0,0,0,0,0
758-weber-state,33,29,33,31,31,22,30,31,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759-webster,28,27,28,28,26,13,28,26,27,26,25,24,27,27,26,0,0,0,0,0,0,0,0,0,0
760-wellesley,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764-wesleyan-ct,22,24,22,24,25,0,25,24,24,22,22,23,24,22,23,10,7,3,2,0,0,0,0,0,0
765-west-chester,27,30,31,33,28,0,27,30,29,27,28,30,28,27,29,0,0,0,0,0,0,0,0,0,0
766-west-georgia,31,30,29,29,24,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767-west-texas-a&m,33,32,31,32,37,21,33,33,34,34,33,33,35,9,29,0,0,0,0,0,0,0,0,0,0
768-west-virginia,35,33,33,31,30,29,29,33,37,35,35,38,0,0,0,0,0,0,0,0,0,0,0,0,0
769-western-carolina,29,30,30,30,30,24,30,30,28,30,29,30,32,30,30,31,30,33,34,34,29,0,0,0,0
770-western-connecticut-st,25,25,25,24,26,0,25,25,26,27,25,26,26,27,27,0,0,0,0,0,0,0,0,0,0
771-western-illinois,32,34,30,30,29,24,30,30,32,33,32,30,30,0,0,0,0,0,0,0,0,0,0,0,0
772-western-ky,29,32,32,33,30,23,29,35,33,34,34,35,33,33,30,0,0,0,0,0,0,0,0,0,0
773-mcdaniel,29,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
